Area,Current Finding,Recommended Action,Timing,Owner,Priority,Status,Notes
Google Analytics,No GA4/gtag snippet detected in current static site files.,Confirm GA4 Measurement ID and tracking strategy before implementation.,Final staging / pre-launch,,High,Pending confirmation,Avoid polluting production analytics with dev traffic unless filtered or separate stream is used.
Google Tag Manager,No GTM container snippet detected in current static site files.,Confirm whether Celsior uses GTM and provide GTM Container ID.,Final staging / pre-launch,,High,Pending confirmation,"If GTM is used, implement globally through shared site shell."
Google Search Console,No Search Console verification tag/file detected in current static site files.,Confirm property type and verification method.,Final launch setup,,High,Pending confirmation,Domain-level DNS verification may already exist for old site. Confirm before adding meta/file verification.
robots.txt,robots.txt not found in repo root.,Create robots.txt after final dev/prod indexing strategy is confirmed.,Pre-launch,,High,Not started,Dev/staging may need noindex/disallow behavior; production should allow intended pages.
sitemap.xml,sitemap.xml not found in repo root.,Generate sitemap after final page list and production domain are confirmed.,Pre-launch,,High,Not started,Use clean canonical URLs only.
Privacy Policy,Needs confirmation.,Confirm final privacy policy page/content and link placement.,Pre-launch,,High,Needs review,Footer should link to final policy.
Terms of Use / Terms of Service,Needs confirmation.,Confirm legal page/content and footer link.,Pre-launch,,Medium,Needs review,
Cookie Consent and Cookie Policy,Needs confirmation.,Confirm cookie policy and whether consent banner is required based on tracking/cookies used.,Before analytics launch,,High,Needs review,Analytics/GTM decision affects this.
Contact Forms / CTA Forms,No native form tags found in repo audit. HubSpot/modal form behavior appears to be handled globally.,"Confirm HubSpot form IDs, routing, notification recipients, thank-you behavior, spam protection, and CRM mapping.",Staging review,,High,Needs review,Use CTA map and HubSpot modal setup for validation.
reCAPTCHA,No reCAPTCHA implementation detected in static files.,Confirm whether HubSpot forms provide spam protection or whether reCAPTCHA is required.,Before form go-live,,Medium,Pending confirmation,
Accessibility Statement,Needs confirmation.,Confirm whether an accessibility statement page is required and link it in footer/legal area if needed.,Pre-launch,,Medium,Needs review,
CCPA Opt-Out Mechanism,Needs applicability confirmation.,Confirm with legal/compliance whether CCPA/CPRA opt-out link or mechanism is applicable.,Pre-launch,,Medium,Pending legal confirmation,
Security Testing,Not performed as part of repo audit.,"Run basic launch checks: HTTPS, security headers, exposed files, form spam protection, third-party scripts.",Pre-launch,,High,Not started,
Responsiveness,Needs visual QA across key pages.,"Test homepage, nav, partner pages, industry pages, and key capability pages across desktop/tablet/mobile.",Staging review,,High,Needs QA,
Core Web Vitals / Page Speed,Not measured as part of repo audit.,Run Lighthouse/PageSpeed on homepage and key landing pages after page set is complete.,Pre-launch,,High,Not started,Image-heavy pages may need optimization review.
