source_file,source_url,button_label,href,class
Capabilities.html,/Capabilities,Start the conversation,#contact,cta-btn cta-band-btn
Capabilities.html,/Capabilities,Start Your Transformation →,(button/no href),btn-ghost
Capabilities.html,/Capabilities,Book a Discovery Call,(button/no href),btn-white
Capabilities.html,/Capabilities,,(button/no href),ch-arr
Capabilities.html,/Capabilities,,(button/no href),ch-arr
Capabilities.html,/Capabilities,How do you ensure continuity when modernizing critical systems?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,What's different about AI-led engineering compared to traditional development?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,Can you work with our existing technology stack and vendor relationships?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,How quickly can engineering teams start seeing results?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,Do you provide ongoing support after initial development or modernization?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,How do you handle data security and regulatory compliance?,(button/no href),faq__trigger
Capabilities.html,/Capabilities,View case study,(button/no href),c-cta
Our_Focus.html,/Our_Focus,Explore Modernization →,#,solution-link
Our_Focus.html,/Our_Focus,Explore Cloud Engineering →,#,solution-link
Our_Focus.html,/Our_Focus,Learn About Teams-as-a-Service →,#,solution-link
Our_Focus.html,/Our_Focus,Get Started,#consultation,em-cta
Our_Focus.html,/Our_Focus,Start the conversation,#contact,cta-btn cta-band-btn
Our_Focus.html,/Our_Focus,Explore Our Approach,(button/no href),btn-ghost
Our_Focus.html,/Our_Focus,Schedule Consultation →,(button/no href),btn-white
Our_Focus.html,/Our_Focus,How is AI-first engineering different from traditional modernization consulting?,(button/no href),faq__trigger
Our_Focus.html,/Our_Focus,What happens to our institutional knowledge during modernization?,(button/no href),faq__trigger
Our_Focus.html,/Our_Focus,Can you modernize systems while they're still running production workloads?,(button/no href),faq__trigger
Our_Focus.html,/Our_Focus,"How do you ensure cloud transformation doesn't just move our cost problem to a
              different platform?",(button/no href),faq__trigger
Our_Focus.html,/Our_Focus,What level of access do you need to our existing systems?,(button/no href),faq__trigger
Our_Focus.html,/Our_Focus,How long until we see measurable results?,(button/no href),faq__trigger
Solutions.html,/Solutions,Start the conversation,#contact,cta-btn cta-band-btn
Solutions.html,/Solutions,Explore our managed programs,(button/no href),btn-ghost
Solutions.html,/Solutions,Book a Discovery Call,(button/no href),btn-white
Solutions.html,/Solutions,"Platform
              Stability",(button/no href),gacc-btn
Solutions.html,/Solutions,"Security
              & Compliance",(button/no href),gacc-btn
Solutions.html,/Solutions,Cost Optimization,(button/no href),gacc-btn
Solutions.html,/Solutions,"Upgrade
              Governance",(button/no href),gacc-btn
Solutions.html,/Solutions,"What's the difference between a Managed Program and a traditional support
              contract?",(button/no href),faq__trigger
Solutions.html,/Solutions,"How do you structure operational accountability — and what does an SLA actually
              cover?",(button/no href),faq__trigger
Solutions.html,/Solutions,"Do you manage the platform alongside our internal team, or do you replace that function
              entirely?",(button/no href),faq__trigger
Solutions.html,/Solutions,"How do you handle platform upgrades without disrupting our production
              environment?",(button/no href),faq__trigger
Solutions.html,/Solutions,What happens if our platform requirements change mid-program?,(button/no href),faq__trigger
Solutions.html,/Solutions,"How does a Managed Program begin — and how long before we see operational
              stability?",(button/no href),faq__trigger
about/who-we-are/index.html,/about/who-we-are,Talk to us,index.html#contact,btn-p
about/who-we-are/index.html,/about/who-we-are,Back to Home,index.html,btn-g
about/who-we-are/index.html,/about/who-we-are,Get in touch,index.html#contact,btn-p
about-leadership/index.html,/about-leadership,Talk to us,index.html#contact,btn-p
about-leadership/index.html,/about-leadership,Back to Home,index.html,btn-g
about-leadership/index.html,/about-leadership,Get in touch,index.html#contact,btn-p
about.html,/about,Talk to us,index.html#contact,btn-p
about.html,/about,Back to Home,index.html,btn-g
about.html,/about,Get in touch,index.html#contact,btn-p
ai-adoption.html,/ai-adoption,Explore CAFE Framework →,#,solution-link
ai-adoption.html,/ai-adoption,Explore HALO Framework →,#,solution-link
ai-adoption.html,/ai-adoption,Explore PACE Platform →,#,solution-link
ai-adoption.html,/ai-adoption,Get Started,#consultation,em-cta
ai-adoption.html,/ai-adoption,Start the conversation,#contact,cta-btn cta-band-btn
ai-adoption.html,/ai-adoption,Assess Your Readiness,(button/no href),btn-ghost
ai-adoption.html,/ai-adoption,Explore Our Approach,(button/no href),btn-white
ai-adoption.html,/ai-adoption,How is enterprise AI adoption different from running pilots?,(button/no href),faq__trigger
ai-adoption.html,/ai-adoption,"What does ""responsible AI"" actually mean in production?",(button/no href),faq__trigger
ai-adoption.html,/ai-adoption,We already have agents deployed. Why would we need PACE?,(button/no href),faq__trigger
ai-adoption.html,/ai-adoption,How does CAFE compress development from 12 months to 90 days?,(button/no href),faq__trigger
ai-adoption.html,/ai-adoption,What's required from our team during AI adoption?,(button/no href),faq__trigger
ai-adoption.html,/ai-adoption,How do you ensure AI systems meet regulatory requirements like EU AI Act or HIPAA?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,Request a Data Assessment,#contact,cta-btn cta-band-btn
ai-and-data.html,/ai-and-data,Transform Your Data Estate →,(button/no href),btn-ghost
ai-and-data.html,/ai-and-data,,(button/no href),ch-arr
ai-and-data.html,/ai-and-data,,(button/no href),ch-arr
ai-and-data.html,/ai-and-data,How do you handle sensitive data in regulated industries like healthcare and banking?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,What's the difference between your data platform approach and traditional BI implementations?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,Can you work with our existing data investments and vendor relationships?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,How quickly can we start seeing results from data and AI projects?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,What happens when data quality issues surface during implementation?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,Do you provide ongoing support for data platforms and AI models?,(button/no href),faq__trigger
ai-and-data.html,/ai-and-data,View case study,(button/no href),c-cta
ai-first-digital-engineering.html,/ai-first-digital-engineering,Explore Modernization →,#,solution-link
ai-first-digital-engineering.html,/ai-first-digital-engineering,Explore Cloud Engineering →,#,solution-link
ai-first-digital-engineering.html,/ai-first-digital-engineering,Learn About Teams-as-a-Service →,#,solution-link
ai-first-digital-engineering.html,/ai-first-digital-engineering,Get Started,#consultation,em-cta
ai-first-digital-engineering.html,/ai-first-digital-engineering,Start the conversation,#contact,cta-btn cta-band-btn
ai-first-digital-engineering.html,/ai-first-digital-engineering,Explore Our Approach,(button/no href),btn-ghost
ai-first-digital-engineering.html,/ai-first-digital-engineering,Schedule Consultation →,(button/no href),btn-white
ai-first-digital-engineering.html,/ai-first-digital-engineering,How is AI-first engineering different from traditional modernization consulting?,(button/no href),faq__trigger
ai-first-digital-engineering.html,/ai-first-digital-engineering,What happens to our institutional knowledge during modernization?,(button/no href),faq__trigger
ai-first-digital-engineering.html,/ai-first-digital-engineering,Can you modernize systems while they're still running production workloads?,(button/no href),faq__trigger
ai-first-digital-engineering.html,/ai-first-digital-engineering,"How do you ensure cloud transformation doesn't just move our cost problem to a
              different platform?",(button/no href),faq__trigger
ai-first-digital-engineering.html,/ai-first-digital-engineering,What level of access do you need to our existing systems?,(button/no href),faq__trigger
ai-first-digital-engineering.html,/ai-first-digital-engineering,How long until we see measurable results?,(button/no href),faq__trigger
ai-innovation.html,/ai-innovation,Talk to us,index.html#contact,btn-p
ai-innovation.html,/ai-innovation,Back to Home,index.html,btn-g
ai-innovation.html,/ai-innovation,Get in touch,index.html#contact,btn-p
ai-led-engineering.html,/ai-led-engineering,Start the conversation,#contact,cta-btn cta-band-btn
ai-led-engineering.html,/ai-led-engineering,Start Your Transformation →,(button/no href),btn-ghost
ai-led-engineering.html,/ai-led-engineering,Book a Discovery Call,(button/no href),btn-white
ai-led-engineering.html,/ai-led-engineering,,(button/no href),ch-arr
ai-led-engineering.html,/ai-led-engineering,,(button/no href),ch-arr
ai-led-engineering.html,/ai-led-engineering,How do you ensure continuity when modernizing critical systems?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,What's different about AI-led engineering compared to traditional development?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,Can you work with our existing technology stack and vendor relationships?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,How quickly can engineering teams start seeing results?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,Do you provide ongoing support after initial development or modernization?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,How do you handle data security and regulatory compliance?,(button/no href),faq__trigger
ai-led-engineering.html,/ai-led-engineering,View case study,(button/no href),c-cta
ai-upskilling.html,/ai-upskilling,Start the conversation,#contact,cta-btn cta-band-btn
ai-upskilling.html,/ai-upskilling,Explore Our Upskilling Programs,(button/no href),btn-ghost
ai-upskilling.html,/ai-upskilling,Schedule a Discovery Call,(button/no href),btn-white
ai-upskilling.html,/ai-upskilling,Productivity Loss,(button/no href),gacc-btn
ai-upskilling.html,/ai-upskilling,Role Readiness,(button/no href),gacc-btn
ai-upskilling.html,/ai-upskilling,Adoption Risk,(button/no href),gacc-btn
ai-upskilling.html,/ai-upskilling,Governance Gaps,(button/no href),gacc-btn
ai-upskilling.html,/ai-upskilling,How quickly can you deploy a program across a large enterprise?,(button/no href),faq__trigger
ai-upskilling.html,/ai-upskilling,Do you train on our internal tools and proprietary systems?,(button/no href),faq__trigger
ai-upskilling.html,/ai-upskilling,How do you handle employees who resist adopting new ways of working?,(button/no href),faq__trigger
ai-upskilling.html,/ai-upskilling,What governance does the program include?,(button/no href),faq__trigger
ai-upskilling.html,/ai-upskilling,How do you price a program of this scale?,(button/no href),faq__trigger
ai-upskilling.html,/ai-upskilling,"How does a Managed Program begin — and how long before we see operational
              stability?",(button/no href),faq__trigger
banking-financial-services/index.html,/banking-financial-services,Schedule a Discovery Call,#contact,cta-band-btn-primary cta-band-btn
banking-financial-services/index.html,/banking-financial-services,Download Capabilities Deck,#,cta-band-btn-outline
banking-financial-services/index.html,/banking-financial-services,Schedule a Discovery Call,(button/no href),btn-ghost
banking-financial-services/index.html,/banking-financial-services,Explore Our Focus Areas,(button/no href),btn-white
banking-financial-services/index.html,/banking-financial-services,,(button/no href),ks-nav-btn
banking-financial-services/index.html,/banking-financial-services,,(button/no href),ks-nav-btn
banking-financial-services/index.html,/banking-financial-services,,(button/no href),oa-arrow
banking-financial-services/index.html,/banking-financial-services,,(button/no href),oa-arrow
banking-financial-services/index.html,/banking-financial-services,Front-End Modernization at Scale,(button/no href),ci-tab
banking-financial-services/index.html,/banking-financial-services,Enterprise Platform Rollout,(button/no href),ci-tab
banking-financial-services/index.html,/banking-financial-services,Digital Market Expansion,(button/no href),ci-tab
banking-financial-services.html,/banking-financial-services,Schedule a Discovery Call,#contact,cta-band-btn-primary cta-band-btn
banking-financial-services.html,/banking-financial-services,Download Capabilities Deck,#,cta-band-btn-outline
banking-financial-services.html,/banking-financial-services,Schedule a Discovery Call,(button/no href),btn-ghost
banking-financial-services.html,/banking-financial-services,Explore Our Focus Areas,(button/no href),btn-white
banking-financial-services.html,/banking-financial-services,,(button/no href),ks-nav-btn
banking-financial-services.html,/banking-financial-services,,(button/no href),ks-nav-btn
banking-financial-services.html,/banking-financial-services,,(button/no href),oa-arrow
banking-financial-services.html,/banking-financial-services,,(button/no href),oa-arrow
banking-financial-services.html,/banking-financial-services,Front-End Modernization at Scale,(button/no href),ci-tab
banking-financial-services.html,/banking-financial-services,Enterprise Platform Rollout,(button/no href),ci-tab
banking-financial-services.html,/banking-financial-services,Digital Market Expansion,(button/no href),ci-tab
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,Request a Data Assessment,#contact,cta-btn cta-band-btn
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,Transform Your Data Estate →,(button/no href),btn-ghost
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,,(button/no href),ch-arr
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,,(button/no href),ch-arr
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,How do you handle sensitive data in regulated industries like healthcare and banking?,(button/no href),faq__trigger
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,What's the difference between your data platform approach and traditional BI implementations?,(button/no href),faq__trigger
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,Can you work with our existing data investments and vendor relationships?,(button/no href),faq__trigger
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,How quickly can we start seeing results from data and AI projects?,(button/no href),faq__trigger
capabilities/ai-and-data/index.html,/capabilities/ai-and-data,What happens when data quality issues surface during implementation?,(button/no href),faq__trigger
