Priority,Page URL,File,Page Title,Meta Description,H1 Count,H1 Text,Shared JS,GA Present,GTM Present,HubSpot Present,reCAPTCHA Present,Primary Gaps,Review Status,Owner,Notes
P2 - Other,/Capabilities,Capabilities.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,GA not present | GTM not present | 16 image alt items,Needs Review,,
P2 - Other,/Our_Focus,Our_Focus.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P2 - Other,/Solutions,Solutions.html,Celsior | Solutions — Managed Programs,Missing,1,Your platforms should deliver what they promised on day one. We make sure they do.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 16 image alt items | SEO: Missing meta description,Needs Review,,
P2 - Company,/about/who-we-are,about/who-we-are/index.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P2 - Company,/about-leadership,about-leadership/index.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P2 - Company,/about,about.html,About Celsior — Celsior,Missing,1,Engineering Partner for Regulated Industries.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/ai-adoption,ai-adoption.html,Celsior | AI-First Digital Engineering,Present,1,Deploy AI that regulators can audit and businesses can trust,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/ai-and-data,ai-and-data.html,Celsior | Capabilities — AI-Led Engineering,Present,1,"Make decisions in hours, not weeks.",yes,no,no,no,no,GA not present | GTM not present | 10 image alt items,Needs Review,,
P1 - Main site page,/ai-first-digital-engineering,ai-first-digital-engineering.html,Celsior | AI-First Digital Engineering,Present,1,AI-First digital engineering that evolves at the speed of your business.,yes,no,no,no,no,GA not present | GTM not present | 15 image alt items,Needs Review,,
P1 - Main site page,/ai-innovation,ai-innovation.html,AI & Innovation — Celsior,Missing,1,"Enterprise AI That Runs in Production, Not Just Pilots.",yes,no,no,no,no,Missing meta description | GA not present | GTM not present | SEO: Missing meta description,Needs Review,,
P1 - Main site page,/ai-led-engineering,ai-led-engineering.html,Celsior | Capabilities — AI-Led Engineering,Present,1,Legacy systems slow you down. AI-led engineering gets you ahead.,yes,no,no,no,no,GA not present | GTM not present | 16 image alt items,Needs Review,,
P1 - Main site page,/ai-upskilling,ai-upskilling.html,Celsior | Solutions — Managed Programs,Missing,1,The return on your AI investment depends entirely on whether your workforce can act on it. Celsior ensures they can.,yes,no,no,no,no,Missing meta description | GA not present | GTM not present | 10 image alt items | SEO: Missing meta description,Needs Review,,
P1 - Industry,/banking-financial-services,banking-financial-services/index.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 6 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
P1 - Industry,/banking-financial-services,banking-financial-services.html,Banking & Financial Services — Celsior,Present,2,Banking & Financial Services / 20+ Institutions | Decades of data. Dozens of systems. Zero unified picture. We fix that.,yes,no,no,no,no,H1 count: 2 | GA not present | GTM not present | 6 image alt items | Content/SEO: Multiple H1s found: 2 | Content/SEO: Multiple H1s found: 2,Needs Review,,
