file,url,title,meta_description,canonical,h1_count,h1_text,favicon_found,og_title,og_description,og_image,has_shared_js,has_gtm,has_ga,has_hubspot,has_recaptcha
Capabilities.html,/Capabilities,Celsior | Capabilities — AI-Led Engineering,Discover Celsior,https://celsior.com/capabilities,1,Legacy systems slow you down. AI-led engineering gets you ahead.,no,Celsior | Capabilities — AI-Led Engineering,"Innovation, Engineered by Celsior. Powered by our AI-first digital engineering platform that spans the complete application lifecycle.",,yes,no,no,no,no
Our_Focus.html,/Our_Focus,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,1,"AI-First
         digital
        engineering that evolves at the speed of your business.",no,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,yes,no,no,no,no
Solutions.html,/Solutions,Celsior | Solutions — Managed Programs,,,1,Your platforms should deliver what they promised on day one. We make sure they do.,no,,,,yes,no,no,no,no
about/who-we-are/index.html,/about/who-we-are,About Celsior — Celsior,,,1,Engineering Partner for Regulated Industries.,no,,,,yes,no,no,no,no
about-leadership/index.html,/about-leadership,About Celsior — Celsior,,,1,Engineering Partner for Regulated Industries.,no,,,,yes,no,no,no,no
about.html,/about,About Celsior — Celsior,,,1,Engineering Partner for Regulated Industries.,no,,,,yes,no,no,no,no
ai-adoption.html,/ai-adoption,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,1,Deploy AI that regulators can audit and businesses can  trust,no,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,yes,no,no,no,no
ai-and-data.html,/ai-and-data,Celsior | Capabilities — AI-Led Engineering,Discover Celsior,https://celsior.com/capabilities,1,"Make decisions in hours, not weeks.",no,Celsior | Capabilities — AI-Led Engineering,"Innovation, Engineered by Celsior. Powered by our AI-first digital engineering platform that spans the complete application lifecycle.",,yes,no,no,no,no
ai-first-digital-engineering.html,/ai-first-digital-engineering,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,1,"AI-First
         digital
        engineering that evolves at the speed of your business.",no,Celsior | AI-First Digital Engineering,"Celsior applies AI-assisted discovery, modernization engineering, and delivery governance to convert legacy technology into measurable business velocity.",,yes,no,no,no,no
ai-innovation.html,/ai-innovation,AI & Innovation — Celsior,,,1,"Enterprise AI That Runs in Production, Not Just Pilots.",no,,,,yes,no,no,no,no
