Page URL,File,Button / Link Label,Destination,Class,Type,Should Open,Current Status,Final Destination,Notes
/Capabilities,Capabilities.html,Start the conversation,#contact,cta-btn cta-band-btn,Link/CTA,,Anchor / Contact CTA - Check,,
/Capabilities,Capabilities.html,Start Your Transformation →,(button/no href),btn-ghost,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,Book a Discovery Call,(button/no href),btn-white,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,How do you ensure continuity when modernizing critical systems?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,What's different about AI-led engineering compared to traditional development?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,Can you work with our existing technology stack and vendor relationships?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,How quickly can engineering teams start seeing results?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,Do you provide ongoing support after initial development or modernization?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,How do you handle data security and regulatory compliance?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Capabilities,Capabilities.html,View case study,(button/no href),c-cta,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,Explore Modernization →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/Our_Focus,Our_Focus.html,Explore Cloud Engineering →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/Our_Focus,Our_Focus.html,Learn About Teams-as-a-Service →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/Our_Focus,Our_Focus.html,Get Started,#consultation,em-cta,Link/CTA,,Anchor / Contact CTA - Check,,
/Our_Focus,Our_Focus.html,Start the conversation,#contact,cta-btn cta-band-btn,Link/CTA,,Anchor / Contact CTA - Check,,
/Our_Focus,Our_Focus.html,Explore Our Approach,(button/no href),btn-ghost,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,Schedule Consultation →,(button/no href),btn-white,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,How is AI-first engineering different from traditional modernization consulting?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,What happens to our institutional knowledge during modernization?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,Can you modernize systems while they're still running production workloads?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,How do you ensure cloud transformation doesn't just move our cost problem to a different platform?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,What level of access do you need to our existing systems?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Our_Focus,Our_Focus.html,How long until we see measurable results?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Start the conversation,#contact,cta-btn cta-band-btn,Link/CTA,,Anchor / Contact CTA - Check,,
/Solutions,Solutions.html,Explore our managed programs,(button/no href),btn-ghost,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Book a Discovery Call,(button/no href),btn-white,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Platform Stability,(button/no href),gacc-btn,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Security & Compliance,(button/no href),gacc-btn,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Cost Optimization,(button/no href),gacc-btn,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,Upgrade Governance,(button/no href),gacc-btn,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,What's the difference between a Managed Program and a traditional support contract?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,How do you structure operational accountability — and what does an SLA actually cover?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,"Do you manage the platform alongside our internal team, or do you replace that function entirely?",(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,How do you handle platform upgrades without disrupting our production environment?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,What happens if our platform requirements change mid-program?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/Solutions,Solutions.html,How does a Managed Program begin — and how long before we see operational stability?,(button/no href),faq__trigger,Button without href,,Button Action - Check JS,,
/about/who-we-are,about/who-we-are/index.html,Talk to us,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/about/who-we-are,about/who-we-are/index.html,Back to Home,index.html,btn-g,Link/CTA,,Needs Review,,
/about/who-we-are,about/who-we-are/index.html,Get in touch,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/about-leadership,about-leadership/index.html,Talk to us,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/about-leadership,about-leadership/index.html,Back to Home,index.html,btn-g,Link/CTA,,Needs Review,,
/about-leadership,about-leadership/index.html,Get in touch,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/about,about.html,Talk to us,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/about,about.html,Back to Home,index.html,btn-g,Link/CTA,,Needs Review,,
/about,about.html,Get in touch,index.html#contact,btn-p,Link/CTA,,Needs Review,,
/ai-adoption,ai-adoption.html,Explore CAFE Framework →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/ai-adoption,ai-adoption.html,Explore HALO Framework →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/ai-adoption,ai-adoption.html,Explore PACE Platform →,#,solution-link,Link/CTA,,Anchor / Contact CTA - Check,,
/ai-adoption,ai-adoption.html,Get Started,#consultation,em-cta,Link/CTA,,Anchor / Contact CTA - Check,,
