Page URL,File,Button / CTA Label,Current Destination,Destination Type,CSS Class,Final Destination,Owner Confirmation,Status,Notes
/Capabilities,Capabilities.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/Capabilities,Capabilities.html,Start Your Transformation →,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/Capabilities,Capabilities.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/Capabilities,Capabilities.html,View case study,(button/no href),Button / JS action - needs manual check,c-cta,,,Needs Review,
/Our_Focus,Our_Focus.html,Explore Modernization →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/Our_Focus,Our_Focus.html,Explore Cloud Engineering →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/Our_Focus,Our_Focus.html,Learn About Teams-as-a-Service →,#,Placeholder / needs final URL,solution-link,,,Needs Review,
/Our_Focus,Our_Focus.html,Get Started,#consultation,Same-page anchor / contact section,em-cta,,,Needs Review,
/Our_Focus,Our_Focus.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/Our_Focus,Our_Focus.html,Explore Our Approach,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/Our_Focus,Our_Focus.html,Schedule Consultation →,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/Solutions,Solutions.html,Start the conversation,#contact,Same-page anchor / contact section,cta-btn cta-band-btn,,,Needs Review,
/Solutions,Solutions.html,Explore our managed programs,(button/no href),Button / JS action - needs manual check,btn-ghost,,,Needs Review,
/Solutions,Solutions.html,Book a Discovery Call,(button/no href),Button / JS action - needs manual check,btn-white,,,Needs Review,
/Solutions,Solutions.html,Platform Stability,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/Solutions,Solutions.html,Security & Compliance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/Solutions,Solutions.html,Cost Optimization,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/Solutions,Solutions.html,Upgrade Governance,(button/no href),Button / JS action - needs manual check,gacc-btn,,,Needs Review,
/about/who-we-are,about/who-we-are/index.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/about/who-we-are,about/who-we-are/index.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
/about/who-we-are,about/who-we-are/index.html,Get in touch,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/about-leadership,about-leadership/index.html,Talk to us,index.html#contact,Other / needs review,btn-p,,,Needs Review,
/about-leadership,about-leadership/index.html,Back to Home,index.html,Other / needs review,btn-g,,,Needs Review,
